work_year,country,region,experience_level,job_title,salary_in_usd,employee_residence,company_location,company_size,years_of_experience
2023,"Netherlands, Kingdom of the",Europe,MI,Machine Learning Engineer,96578,NL,NL,L,5
2023,United States of America,Americas,SE,Business Intelligence Engineer,185900,US,US,M,6
2023,United States of America,Americas,SE,Business Intelligence Engineer,129300,US,US,M,7
2023,United States of America,Americas,SE,Data Engineer,225000,US,US,M,6
2023,United States of America,Americas,SE,Data Engineer,175000,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,185000,US,US,M,7
2023,United States of America,Americas,SE,Data Engineer,140000,US,US,M,6
2023,Spain,Europe,SE,Data Scientist,48289,ES,ES,M,6
2023,Spain,Europe,SE,Data Scientist,38631,ES,ES,M,7
2023,United States of America,Americas,SE,Data Scientist,105000,US,US,M,7
2023,United States of America,Americas,SE,Data Scientist,70000,US,US,M,6
2023,United States of America,Americas,EN,Machine Learning Engineer,163196,US,US,M,1
2023,United States of America,Americas,EN,Machine Learning Engineer,145885,US,US,M,2
2023,United States of America,Americas,SE,Data Engineer,217000,US,US,M,7
2023,United States of America,Americas,SE,Data Engineer,185000,US,US,M,6
2023,United States of America,Americas,SE,Data Analyst,202800,US,US,L,8
2023,United States of America,Americas,SE,Data Analyst,104300,US,US,L,8
2023,United States of America,Americas,SE,Data Analyst,145000,US,US,M,6
2023,United States of America,Americas,SE,Data Analyst,65000,US,US,M,6
2023,United States of America,Americas,SE,Data Engineer,165000,US,US,M,7
2023,United States of America,Americas,SE,Data Engineer,132300,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,179170,US,US,M,6
2023,United States of America,Americas,SE,Data Engineer,94300,US,US,M,7
2023,United States of America,Americas,SE,Analytics Engineer,152500,US,US,M,6
2023,United States of America,Americas,SE,Analytics Engineer,116450,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,247300,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,133800,US,US,M,6
2023,United States of America,Americas,SE,Research Engineer,203000,US,US,M,8
2023,United States of America,Americas,SE,Research Engineer,133000,US,US,M,6
2023,United States of America,Americas,EN,Research Scientist,220000,US,US,L,2
2022,Switzerland,Europe,EN,Machine Learning Engineer,56536,CH,CH,S,2
2023,United States of America,Americas,SE,Data Scientist,150000,US,US,M,7
2023,United States of America,Americas,SE,Data Scientist,120000,US,US,M,7
2023,United States of America,Americas,SE,Analytics Engineer,289800,US,US,M,8
2023,United States of America,Americas,SE,Analytics Engineer,214000,US,US,M,7
2023,United States of America,Americas,SE,Analytics Engineer,179820,US,US,M,7
2023,United States of America,Americas,SE,Analytics Engineer,143860,US,US,M,7
2023,United States of America,Americas,SE,Machine Learning Engineer,283200,US,US,M,7
2023,United States of America,Americas,SE,Machine Learning Engineer,188800,US,US,M,8
2023,United States of America,Americas,SE,Analytics Engineer,289800,US,US,M,6
2023,United States of America,Americas,SE,Analytics Engineer,214200,US,US,M,6
2023,United States of America,Americas,SE,Data Engineer,185900,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,129300,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,252000,US,US,M,6
2023,United States of America,Americas,SE,Data Engineer,129000,US,US,M,6
2023,United States of America,Americas,MI,Data Analytics Manager,155000,US,US,M,4
2023,United States of America,Americas,MI,Data Analytics Manager,140000,US,US,M,3
2023,United States of America,Americas,SE,Data Engineer,161800,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,141600,US,US,M,7
2023,United States of America,Americas,SE,Machine Learning Engineer,342300,US,US,L,6
2023,United States of America,Americas,SE,Machine Learning Engineer,176100,US,US,L,6
2023,United States of America,Americas,MI,Data Engineer,100000,US,US,M,3
2023,United States of America,Americas,MI,Data Engineer,70000,US,US,M,3
2023,United States of America,Americas,EN,Data Engineer,85000,US,US,M,1
2023,United States of America,Americas,EN,Data Engineer,65000,US,US,M,2
2023,United States of America,Americas,SE,Data Scientist,138784,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,83270,US,US,M,8
2023,United States of America,Americas,EN,Data Analyst,75000,US,US,M,2
2023,United States of America,Americas,EN,Data Analyst,70000,US,US,M,1
2023,United States of America,Americas,SE,Data Analyst,204500,US,US,M,7
2023,United States of America,Americas,SE,Data Analyst,138900,US,US,M,7
2023,United States of America,Americas,SE,Machine Learning Engineer,318300,US,US,M,6
2023,United States of America,Americas,SE,Machine Learning Engineer,212200,US,US,M,6
2023,United States of America,Americas,SE,Data Engineer,95000,US,US,M,6
2023,United States of America,Americas,SE,Data Engineer,75000,US,US,M,8
2023,United States of America,Americas,SE,Data Scientist,195000,US,US,M,7
2023,United States of America,Americas,SE,Data Scientist,160000,US,US,M,7
2023,United States of America,Americas,SE,Analytics Engineer,230000,US,US,M,6
2023,United States of America,Americas,SE,Analytics Engineer,143200,US,US,M,8
2023,United States of America,Americas,MI,Data Engineer,100000,US,US,M,4
2023,United States of America,Americas,MI,Data Engineer,70000,US,US,M,4
2023,United States of America,Americas,MI,Business Data Analyst,105000,US,US,L,5
2023,India,Asia,MI,Applied Data Scientist,20670,IN,IN,L,4
2023,United Kingdom of Great Britain and Northern Ireland,Europe,MI,Data Analyst,46178,GB,GB,M,5
2023,United Kingdom of Great Britain and Northern Ireland,Europe,MI,Data Analyst,42533,GB,GB,M,4
2023,United States of America,Americas,SE,Data Engineer,145000,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,115000,US,US,M,8
2023,United States of America,Americas,SE,Data Analyst,168400,US,US,M,6
2023,United States of America,Americas,SE,Data Analyst,105200,US,US,M,7
2023,United States of America,Americas,SE,Applied Scientist,309400,US,US,L,8
2023,United States of America,Americas,SE,Applied Scientist,159100,US,US,L,7
2023,United States of America,Americas,SE,Machine Learning Engineer,190000,US,US,M,6
2023,United States of America,Americas,SE,Machine Learning Engineer,150000,US,US,M,7
2023,United States of America,Americas,MI,Data Engineer,162500,US,US,M,5
2023,United States of America,Americas,MI,Data Engineer,130000,US,US,M,4
2023,United States of America,Americas,SE,Analytics Engineer,150000,US,US,M,7
2023,United States of America,Americas,SE,Analytics Engineer,120000,US,US,M,6
2023,United States of America,Americas,SE,Data Engineer,145000,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,120000,US,US,M,7
2023,United States of America,Americas,SE,Applied Scientist,222200,US,US,L,8
2023,United States of America,Americas,SE,Applied Scientist,136000,US,US,L,8
2023,Central African Republic,Africa,SE,Data Analyst,54685,CF,CF,M,6
2023,Central African Republic,Africa,SE,Data Analyst,42533,CF,CF,M,8
2023,United States of America,Americas,SE,Data Engineer,241000,US,US,M,6
2023,United States of America,Americas,SE,Data Engineer,155000,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,220000,US,US,M,6
2023,United States of America,Americas,SE,Data Engineer,190000,US,US,M,8
2023,United Kingdom of Great Britain and Northern Ireland,Europe,MI,Data Scientist,66837,GB,GB,M,5
2023,United Kingdom of Great Britain and Northern Ireland,Europe,MI,Data Scientist,54685,GB,GB,M,3
2020,Nigeria,Africa,EX,Staff Data Analyst,15000,NG,CA,M,9
2023,United Kingdom of Great Britain and Northern Ireland,Europe,MI,ETL Engineer,85066,GB,GB,M,5
2023,United Kingdom of Great Britain and Northern Ireland,Europe,MI,ETL Engineer,57723,GB,GB,M,5
2023,United States of America,Americas,EN,Data Analyst,85000,US,US,M,1
2023,United States of America,Americas,EN,Data Analyst,75000,US,US,M,2
2023,United States of America,Americas,SE,Data Engineer,160000,US,US,M,6
2023,United States of America,Americas,SE,Data Engineer,140000,US,US,M,8
2023,United States of America,Americas,MI,Machine Learning Engineer,300000,US,US,M,5
2023,United States of America,Americas,MI,Machine Learning Engineer,250000,US,US,M,5
2023,United States of America,Americas,SE,Data Scientist,228000,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,186000,US,US,M,7
2023,United States of America,Americas,SE,Data Scientist,190000,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,170000,US,US,M,6
2023,United States of America,Americas,MI,Research Engineer,230000,US,US,M,4
2023,United States of America,Americas,MI,Research Engineer,200000,US,US,M,4
2023,United States of America,Americas,SE,Data Architect,180000,US,US,M,8
2023,United States of America,Americas,SE,Data Architect,115000,US,US,M,8
2023,United States of America,Americas,SE,Data Architect,200000,US,US,M,7
2023,United States of America,Americas,SE,Data Architect,115000,US,US,M,8
2023,France,Europe,SE,Data DevOps Engineer,53654,FR,FR,S,7
2023,United States of America,Americas,EX,Data Engineer,220000,US,US,M,9
2023,United States of America,Americas,EX,Data Engineer,205000,US,US,M,10
2023,United States of America,Americas,MI,Data Engineer,180000,US,US,M,5
2023,United States of America,Americas,MI,Data Engineer,130000,US,US,M,5
2023,United States of America,Americas,SE,Data Engineer,200000,US,US,M,6
2023,United States of America,Americas,SE,Data Engineer,150000,US,US,M,6
2023,United States of America,Americas,SE,Computer Vision Engineer,215000,US,US,M,7
2023,United States of America,Americas,SE,Computer Vision Engineer,170000,US,US,M,8
2023,United States of America,Americas,SE,Machine Learning Engineer,247500,US,US,M,6
2023,United States of America,Americas,SE,Machine Learning Engineer,172200,US,US,M,7
2023,Canada,Americas,SE,Data Scientist,224000,CA,CA,M,6
2023,Canada,Americas,SE,Data Scientist,176000,CA,CA,M,8
2023,United States of America,Americas,SE,Data Analyst,120000,US,US,M,8
2023,United States of America,Americas,SE,Data Analyst,75000,US,US,M,8
2023,India,Asia,EN,Data Engineer,17022,IN,IN,L,2
2023,Australia,Oceania,SE,Applied Data Scientist,68318,AU,FI,M,6
2023,Finland,Europe,MI,AI Developer,75020,FI,FI,M,5
2023,United States of America,Americas,SE,Data Analyst,140000,US,US,M,8
2023,United States of America,Americas,SE,Data Analyst,120000,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,128000,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,81500,US,US,M,7
2023,United States of America,Americas,SE,Data Engineer,145000,US,US,M,6
2023,United States of America,Americas,SE,Data Engineer,115000,US,US,M,6
2023,United States of America,Americas,SE,Data Engineer,185000,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,140000,US,US,M,6
2023,United States of America,Americas,EX,Head of Data,329500,US,US,M,10
2023,United States of America,Americas,EX,Head of Data,269600,US,US,M,9
2023,United States of America,Americas,SE,Data Quality Analyst,100000,US,US,M,6
2023,United States of America,Americas,SE,Data Quality Analyst,80000,US,US,M,8
2023,United States of America,Americas,SE,Data Scientist,250000,US,US,M,8
2023,United States of America,Americas,SE,Data Scientist,162500,US,US,M,7
2023,United States of America,Americas,MI,AI Developer,200000,US,US,M,3
2023,United States of America,Americas,SE,Data Engineer,145000,US,US,M,7
2023,United States of America,Americas,SE,Data Engineer,100000,US,US,M,6
2023,United States of America,Americas,EX,Data Engineer,145000,US,US,M,10
2023,United States of America,Americas,EX,Data Engineer,115000,US,US,M,9
2023,United States of America,Americas,SE,Data Scientist,203500,US,US,M,8
2023,United States of America,Americas,SE,Data Scientist,152000,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,239000,US,US,L,8
2023,United States of America,Americas,SE,Data Scientist,122900,US,US,L,6
2023,United States of America,Americas,SE,Data Scientist,237000,US,US,M,8
2023,United States of America,Americas,SE,Data Scientist,145000,US,US,M,8
2023,United States of America,Americas,SE,Data Science Manager,191765,US,US,M,6
2023,United States of America,Americas,SE,Data Science Manager,134236,US,US,M,6
2023,United States of America,Americas,SE,Analytics Engineer,190000,US,US,M,8
2023,United States of America,Americas,SE,Analytics Engineer,112000,US,US,M,7
2022,Spain,Europe,SE,Data Scientist,88256,ES,GB,L,6
2023,United States of America,Americas,EN,Data Engineer,85000,US,US,M,2
2023,United States of America,Americas,EN,Data Engineer,65000,US,US,M,2
2023,United States of America,Americas,SE,Data Analyst,135000,US,US,M,8
2023,United States of America,Americas,SE,Data Analyst,105500,US,US,M,8
2023,United States of America,Americas,SE,Research Engineer,293000,US,US,M,8
2023,United States of America,Americas,SE,Research Engineer,185000,US,US,M,7
2023,United States of America,Americas,SE,Data Analyst,80000,US,US,M,8
2023,United States of America,Americas,SE,Data Analyst,70000,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,220000,US,US,M,6
2023,United States of America,Americas,SE,Data Engineer,160000,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,175000,US,US,M,8
2023,United States of America,Americas,SE,Data Scientist,145000,US,US,M,6
2023,United States of America,Americas,SE,Data Analyst,200000,US,US,M,7
2023,United States of America,Americas,SE,Data Analyst,148500,US,US,M,6
2023,Spain,Europe,SE,Data Scientist,48289,ES,ES,M,8
2023,Spain,Europe,SE,Data Scientist,38631,ES,ES,M,8
2023,United States of America,Americas,SE,Data Engineer,240500,US,US,L,8
2023,United States of America,Americas,SE,Data Engineer,123700,US,US,L,8
2023,United States of America,Americas,SE,Analytics Engineer,152900,US,US,M,8
2023,United States of America,Americas,SE,Analytics Engineer,117100,US,US,M,7
2023,United States of America,Americas,SE,Analytics Engineer,173000,US,US,M,8
2023,United States of America,Americas,SE,Analytics Engineer,113000,US,US,M,6
2023,United States of America,Americas,SE,Applied Scientist,260000,US,US,L,8
2023,United States of America,Americas,SE,Applied Scientist,136000,US,US,L,7
2023,United States of America,Americas,EX,Data Engineer,175000,US,US,M,9
2023,United States of America,Americas,EX,Data Engineer,110000,US,US,M,10
2023,United States of America,Americas,SE,Applied Scientist,260000,US,US,L,7
2023,United States of America,Americas,SE,Applied Scientist,136000,US,US,L,6
2023,United States of America,Americas,SE,Research Scientist,130000,US,US,M,7
2023,United States of America,Americas,SE,Research Scientist,110000,US,US,M,6
2023,United States of America,Americas,SE,Applied Scientist,205000,US,US,M,8
2023,United States of America,Americas,SE,Applied Scientist,184000,US,US,M,6
2023,United States of America,Americas,SE,Data Analyst,149500,US,US,M,6
2023,United States of America,Americas,SE,Data Analyst,127075,US,US,M,7
2023,United States of America,Americas,SE,Data Scientist,195000,US,US,M,8
2023,United States of America,Americas,SE,Data Scientist,160000,US,US,M,7
2023,United States of America,Americas,SE,Data Engineer,219535,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,146115,US,US,M,7
2023,United States of America,Americas,SE,Data Scientist,170000,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,135000,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,175000,US,US,M,7
2023,United States of America,Americas,SE,Data Scientist,145000,US,US,M,8
2023,United States of America,Americas,SE,Data Scientist,199000,US,US,M,7
2023,United States of America,Americas,SE,Data Scientist,162000,US,US,M,6
2023,United States of America,Americas,SE,Applied Scientist,222200,US,US,L,6
2023,United States of America,Americas,SE,Applied Scientist,136000,US,US,L,6
2023,United States of America,Americas,EX,Analytics Engineer,221000,US,US,M,9
2023,United States of America,Americas,EX,Analytics Engineer,153000,US,US,M,10
2023,United States of America,Americas,SE,Data Analyst,187000,US,US,M,6
2023,United States of America,Americas,SE,Data Analyst,128000,US,US,M,8
2023,United States of America,Americas,SE,Research Scientist,210000,US,US,M,8
2023,United States of America,Americas,SE,Research Scientist,136000,US,US,M,7
2023,United States of America,Americas,SE,Data Scientist,175000,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,100000,US,US,M,6
2023,United States of America,Americas,SE,Data Engineer,179000,US,US,M,7
2023,United States of America,Americas,SE,Data Engineer,109000,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,245000,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,180000,US,US,M,8
2023,United States of America,Americas,SE,Data Analyst,142000,US,US,M,6
2023,United States of America,Americas,SE,Data Analyst,75000,US,US,M,8
2023,United States of America,Americas,SE,Data Manager,198800,US,US,M,7
2023,United States of America,Americas,SE,Data Manager,105200,US,US,M,6
2023,United States of America,Americas,SE,Data Analyst,125000,US,US,M,8
2023,United States of America,Americas,SE,Data Analyst,112000,US,US,M,8
2023,United States of America,Americas,SE,Data Scientist,210000,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,155000,US,US,M,6
2023,United States of America,Americas,SE,Data Manager,115000,US,US,M,8
2023,United States of America,Americas,SE,Data Manager,86000,US,US,M,8
2023,United States of America,Americas,SE,Data Scientist,165000,US,US,M,7
2023,United States of America,Americas,SE,Data Scientist,140000,US,US,M,7
2023,United States of America,Americas,SE,Data Analyst,139000,US,US,M,8
2023,United States of America,Americas,SE,Data Analyst,106000,US,US,M,6
2023,Canada,Americas,EN,Data Analyst,40663,CA,CA,L,2
2022,Canada,Americas,SE,AI Developer,275000,CA,CA,S,6
2023,Ukraine,Europe,SE,Machine Learning Researcher,50000,UA,UA,S,7
2023,United States of America,Americas,MI,Machine Learning Engineer,280700,US,US,M,5
2023,United States of America,Americas,MI,Machine Learning Engineer,150450,US,US,M,4
2023,Canada,Americas,EN,Data Scientist,51753,CA,CA,L,2
2023,United States of America,Americas,SE,Data Architect,250500,US,US,M,7
2023,United States of America,Americas,SE,Data Architect,159500,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,145000,US,US,M,7
2023,United States of America,Americas,SE,Data Engineer,115000,US,US,M,6
2023,United States of America,Americas,SE,Data Analyst,140000,US,US,M,7
2023,United States of America,Americas,SE,Data Analyst,120000,US,US,M,8
2023,United States of America,Americas,EN,Data Scientist,130001,US,US,M,2
2023,United States of America,Americas,EN,Data Scientist,71907,US,US,M,2
2023,United States of America,Americas,MI,Data Scientist,93918,US,US,M,3
2023,United States of America,Americas,MI,Data Scientist,51962,US,US,M,3
2023,Canada,Americas,SE,Data Analyst,175000,CA,CA,M,7
2023,Canada,Americas,SE,Data Analyst,135000,CA,CA,M,8
2023,United States of America,Americas,EN,Data Engineer,85000,US,US,M,1
2023,United States of America,Americas,EN,Data Engineer,65000,US,US,M,2
2023,United States of America,Americas,SE,Machine Learning Engineer,257000,US,US,M,8
2023,United States of America,Americas,SE,Machine Learning Engineer,147000,US,US,M,7
2023,United States of America,Americas,SE,Data Engineer,222000,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,175000,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,203000,US,US,M,8
2023,United States of America,Americas,SE,Data Scientist,133200,US,US,M,6
2023,United States of America,Americas,EN,Applied Scientist,213660,US,US,L,1
2023,United States of America,Americas,EN,Applied Scientist,130760,US,US,L,1
2023,United States of America,Americas,SE,Data Engineer,221000,US,US,M,6
2023,United States of America,Americas,SE,Data Engineer,147000,US,US,M,8
2023,United States of America,Americas,SE,Data Quality Analyst,100000,US,US,M,7
2023,United States of America,Americas,SE,Data Quality Analyst,80000,US,US,M,7
2023,United States of America,Americas,SE,Data Scientist,185900,US,US,M,7
2023,United States of America,Americas,SE,Data Scientist,129300,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,238000,US,US,M,7
2023,United States of America,Americas,SE,Data Scientist,156000,US,US,M,6
2023,United States of America,Americas,SE,Machine Learning Engineer,304000,US,US,M,6
2023,United States of America,Americas,SE,Machine Learning Engineer,199000,US,US,M,8
2023,Spain,Europe,MI,Big Data Engineer,48289,ES,ES,M,4
2023,United States of America,Americas,SE,Data Engineer,150000,US,US,M,6
2023,United States of America,Americas,SE,Data Engineer,130000,US,US,M,8
2023,United States of America,Americas,SE,Data Scientist,140000,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,110000,US,US,M,7
2023,United States of America,Americas,MI,Data Analyst,90000,US,US,M,4
2023,United States of America,Americas,MI,Data Analyst,75000,US,US,M,5
2023,United Kingdom of Great Britain and Northern Ireland,Europe,MI,Research Scientist,195895,GB,GB,M,4
2023,United Kingdom of Great Britain and Northern Ireland,Europe,MI,Research Scientist,102772,GB,GB,M,4
2023,United States of America,Americas,SE,Data Engineer,240000,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,183600,US,US,M,6
2023,United States of America,Americas,MI,Data Specialist,130000,US,US,M,3
2023,United States of America,Americas,MI,Data Specialist,80000,US,US,M,4
2023,United States of America,Americas,SE,Data Engineer,250000,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,150000,US,US,M,8
2023,United States of America,Americas,SE,Data Analytics Manager,160000,US,US,M,7
2023,United States of America,Americas,SE,Data Analytics Manager,120000,US,US,M,6
2023,United States of America,Americas,SE,Machine Learning Engineer,289076,US,US,M,6
2023,United States of America,Americas,SE,Machine Learning Engineer,202353,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,145000,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,120000,US,US,M,8
2023,United States of America,Americas,SE,Data Analyst,155000,US,US,M,7
2023,United States of America,Americas,SE,Data Analyst,106000,US,US,M,7
2023,United States of America,Americas,SE,Data Engineer,200000,US,US,M,8
2023,United States of America,Americas,SE,Data Engineer,160000,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,157750,US,US,M,6
2023,United States of America,Americas,SE,Data Scientist,104650,US,US,M,6
2023,United States of America,Americas,MI,Data Scientist,180000,US,US,M,3
2023,United States of America,Americas,MI,Data Scientist,140000,US,US,M,4
2023,United States of America,Americas,EX,Data Scientist,200000,US,US,M,9
2023,United States of America,Americas,EX,Data Scientist,145000,US,US,M,10
2023,United States of America,Americas,MI,Lead Data Analyst,68000,US,US,L,4
2023,United States of America,Americas,EN,BI Data Engineer,60000,US,US,M,1
2023,Spain,Europe,SE,Data Scientist,48289,ES,ES,M,6
2023,Spain,Europe,SE,Data Scientist,38631,ES,ES,M,8
2023,United States of America,Americas,EN,Data Engineer,85000,US,US,M,2
2023,United States of America,Americas,EN,Data Engineer,65000,US,US,M,1
2023,United States of America,Americas,MI,Data Engineer,125000,US,US,M,4
2023,United States of America,Americas,MI,Data Engineer,90000,US,US,M,5
2023,United States of America,Americas,SE,Data Analyst,105000,US,US,M,6
2023,United States of America,Americas,SE,Data Analyst,90000,US,US,M,8
2023,United States of America,Americas,SE,Analytics Engineer,179820,US,US,M,6
2023,United States of America,Americas,SE,Analytics Engineer,143860,US,US,M,6
2023,United States of America,Americas,SE,Data Analyst,135000,US,US,M,8
2023,United States of America,Americas,SE,Data Analyst,105500,US,US,M,7
